Date,Portfolio_Return,Monte_Carlo_VaR,Monte_Carlo_VaR_Dollar,Realized_Loss,Exception,Rolling_Exception_Rate,Rolling_Exception_Count,Exception_Severity
2021-06-03,-0.009629238608030865,0.017085030335965676,17085.030335965675,0.009629238608030865,False,0.008,2.0,0.0
2021-06-04,0.011920888110626705,0.01806740080348665,18067.40080348665,-0.011920888110626705,False,0.008,2.0,0.0
2021-06-07,-0.0004114594005298233,0.016283226721384245,16283.226721384246,0.0004114594005298233,False,0.008,2.0,0.0
2021-06-08,-4.472140879383516e-05,0.017746968077559003,17746.968077559002,4.472140879383516e-05,False,0.008,2.0,0.0
2021-06-09,0.0005541860543671673,0.017909602896548298,17909.6028965483,-0.0005541860543671673,False,0.004,1.0,0.0
2021-06-10,0.00667487692340143,0.016841513199357942,16841.51319935794,-0.00667487692340143,False,0.004,1.0,0.0
2021-06-11,-0.0024045569866696375,0.017508979509617342,17508.979509617344,0.0024045569866696375,False,0.004,1.0,0.0
2021-06-14,0.00020283758499533024,0.017751495251899237,17751.495251899236,-0.00020283758499533024,False,0.004,1.0,0.0
2021-06-15,-0.004040169321902277,0.01619887744424628,16198.877444246278,0.004040169321902277,False,0.004,1.0,0.0
2021-06-16,-0.008119936011926464,0.016767234888499707,16767.234888499708,0.008119936011926464,False,0.004,1.0,0.0
2021-06-17,0.00042424597495556107,0.01654533867413562,16545.33867413562,-0.00042424597495556107,False,0.004,1.0,0.0
2021-06-18,-0.003007433387833647,0.017181618419162582,17181.618419162583,0.003007433387833647,False,0.004,1.0,0.0
2021-06-21,0.004055159064969339,0.017653960688867234,17653.960688867235,-0.004055159064969339,False,0.004,1.0,0.0
2021-06-22,0.0016654799906533626,0.01687559624825547,16875.59624825547,-0.0016654799906533626,False,0.004,1.0,0.0
2021-06-23,0.0004267880691329661,0.017122949125812807,17122.949125812807,-0.0004267880691329661,False,0.004,1.0,0.0
2021-06-24,0.004453899342201684,0.01706126719265345,17061.26719265345,-0.004453899342201684,False,0.004,1.0,0.0
2021-06-25,0.0007218966939426918,0.01745590152971776,17455.901529717758,-0.0007218966939426918,False,0.004,1.0,0.0
2021-06-28,0.0050599191836100624,0.01705807778829229,17058.077788292292,-0.0050599191836100624,False,0.004,1.0,0.0
2021-06-29,-0.0010792145223646802,0.01762987980834743,17629.87980834743,0.0010792145223646802,False,0.004,1.0,0.0
2021-06-30,0.00041721825251239675,0.01752520706765957,17525.20706765957,-0.00041721825251239675,False,0.004,1.0,0.0
2021-07-01,0.0007614253646986314,0.01694518795614578,16945.187956145783,-0.0007614253646986314,False,0.004,1.0,0.0
2021-07-02,0.006124264072698615,0.016488154702840634,16488.154702840635,-0.006124264072698615,False,0.004,1.0,0.0
2021-07-06,0.0003316942066927011,0.016364340778031557,16364.340778031557,-0.0003316942066927011,False,0.004,1.0,0.0
2021-07-07,0.0034390207543025355,0.01731084989345682,17310.84989345682,-0.0034390207543025355,False,0.004,1.0,0.0
2021-07-08,-0.006350924894675015,0.017987139609191315,17987.139609191316,0.006350924894675015,False,0.004,1.0,0.0
2021-07-09,0.004692674132049347,0.017436597489400546,17436.597489400545,-0.004692674132049347,False,0.004,1.0,0.0
2021-07-12,0.0011767963907725056,0.01682140211464939,16821.40211464939,-0.0011767963907725056,False,0.004,1.0,0.0
2021-07-13,-0.001765645258315285,0.016531769055744147,16531.769055744146,0.001765645258315285,False,0.004,1.0,0.0
2021-07-14,0.005937954159726423,0.01712138036275346,17121.38036275346,-0.005937954159726423,False,0.004,1.0,0.0
2021-07-15,0.0006358229029667982,0.016368701358257635,16368.701358257635,-0.0006358229029667982,False,0.004,1.0,0.0
2021-07-16,-0.007061628378822294,0.0171174810982636,17117.481098263597,0.007061628378822294,False,0.004,1.0,0.0
2021-07-19,-0.003329331215687525,0.01693732721325538,16937.32721325538,0.003329331215687525,False,0.004,1.0,0.0
2021-07-20,0.0036473079955820385,0.017912458009907914,17912.458009907914,-0.0036473079955820385,False,0.004,1.0,0.0
2021-07-21,0.0011725630850875303,0.01730892004424985,17308.920044249848,-0.0011725630850875303,False,0.004,1.0,0.0
2021-07-22,0.004398445914722249,0.016913046232189366,16913.046232189365,-0.004398445914722249,False,0.004,1.0,0.0
2021-07-23,-0.000535912950887507,0.016785503834608306,16785.503834608306,0.000535912950887507,False,0.004,1.0,0.0
2021-07-26,-0.004227461295777624,0.017101182477961465,17101.182477961465,0.004227461295777624,False,0.004,1.0,0.0
2021-07-27,-0.004685946822333964,0.016235746987327233,16235.746987327233,0.004685946822333964,False,0.004,1.0,0.0
2021-07-28,0.007137924674436481,0.016912322593473063,16912.32259347306,-0.007137924674436481,False,0.004,1.0,0.0
2021-07-29,0.0032997418722616302,0.016482316943511852,16482.31694351185,-0.0032997418722616302,False,0.004,1.0,0.0
2021-07-30,-0.00456958209495244,0.017580912914902373,17580.912914902372,0.00456958209495244,False,0.004,1.0,0.0
2021-08-02,0.0025674109749151295,0.016146053844423785,16146.053844423785,-0.0025674109749151295,False,0.004,1.0,0.0
2021-08-03,0.0036507511937057925,0.017450349181588207,17450.349181588208,-0.0036507511937057925,False,0.004,1.0,0.0
2021-08-04,0.0007983001075667407,0.01693730923402426,16937.30923402426,-0.0007983001075667407,False,0.004,1.0,0.0
2021-08-05,0.00042031397811035374,0.016755282656809665,16755.282656809664,-0.00042031397811035374,False,0.004,1.0,0.0
2021-08-06,-0.010564400048185641,0.017385748167136658,17385.74816713666,0.010564400048185641,False,0.004,1.0,0.0
2021-08-09,-0.003403007456833929,0.017319949072330136,17319.949072330135,0.003403007456833929,False,0.004,1.0,0.0
2021-08-10,-0.0013694791154382103,0.016065159000205068,16065.159000205067,0.0013694791154382103,False,0.004,1.0,0.0
2021-08-11,0.003324297281600686,0.016067929661424018,16067.929661424017,-0.003324297281600686,False,0.004,1.0,0.0
2021-08-12,-0.0007170770846160355,0.016397424244181308,16397.424244181308,0.0007170770846160355,False,0.004,1.0,0.0
2021-08-13,0.006588911802380993,0.016476317655025458,16476.317655025457,-0.006588911802380993,False,0.004,1.0,0.0
2021-08-16,0.0002229274890202637,0.01651663069749714,16516.63069749714,-0.0002229274890202637,False,0.004,1.0,0.0
2021-08-17,-0.007119797385031391,0.016618846669930857,16618.846669930856,0.007119797385031391,False,0.004,1.0,0.0
2021-08-18,-0.002968350763073935,0.0169751077624416,16975.1077624416,0.002968350763073935,False,0.004,1.0,0.0
2021-08-19,-0.0012501759497499652,0.016400202996154252,16400.20299615425,0.0012501759497499652,False,0.004,1.0,0.0
2021-08-20,0.003742536403041474,0.016291145102878987,16291.145102878987,-0.003742536403041474,False,0.004,1.0,0.0
2021-08-23,0.010083615106093527,0.01610694865375472,16106.94865375472,-0.010083615106093527,False,0.004,1.0,0.0
2021-08-24,0.0038154430763140293,0.016803203375691106,16803.203375691104,-0.0038154430763140293,False,0.004,1.0,0.0
2021-08-25,-0.002165808096800781,0.016494593947624953,16494.59394762495,0.002165808096800781,False,0.004,1.0,0.0
2021-08-26,-0.0035746389224065927,0.01634813504834204,16348.13504834204,0.0035746389224065927,False,0.004,1.0,0.0
2021-08-27,0.010571411888817873,0.01752680781196339,17526.80781196339,-0.010571411888817873,False,0.004,1.0,0.0
2021-08-30,0.0030850253334332666,0.016454224645236427,16454.224645236427,-0.0030850253334332666,False,0.004,1.0,0.0
2021-08-31,0.0013275021918899288,0.01678175654807135,16781.75654807135,-0.0013275021918899288,False,0.004,1.0,0.0
2021-09-01,0.0033415666524657,0.016342963549329462,16342.963549329463,-0.0033415666524657,False,0.004,1.0,0.0
2021-09-02,-4.08322795574233e-05,0.016631528283905562,16631.52828390556,4.08322795574233e-05,False,0.004,1.0,0.0
2021-09-03,0.0019462833550339955,0.016778185036843123,16778.185036843122,-0.0019462833550339955,False,0.004,1.0,0.0
2021-09-07,-0.0048687444134025044,0.015658541334470043,15658.541334470043,0.0048687444134025044,False,0.004,1.0,0.0
2021-09-08,-0.0029992510608695573,0.01588717758635259,15887.17758635259,0.0029992510608695573,False,0.004,1.0,0.0
2021-09-09,0.0013807274055684937,0.015765226275044758,15765.226275044759,-0.0013807274055684937,False,0.004,1.0,0.0
2021-09-10,-0.006098133057524069,0.015531616522865199,15531.616522865199,0.006098133057524069,False,0.004,1.0,0.0
2021-09-13,0.0027901618954543355,0.015381609592711946,15381.609592711946,-0.0027901618954543355,False,0.004,1.0,0.0
2021-09-14,0.0003924241406155772,0.01565430937531556,15654.30937531556,-0.0003924241406155772,False,0.004,1.0,0.0
